SKUID,SKUPARTNUMBER,SKUFRIENDLYNAME
0C266DFF-15DD-4B49-8397-2BB16070ED52,MCOMEETADV,AUDIO CONFERENCING
2B9C8E7C-319C-43A2-A2A0-48C5C6161DE7,AAD_BASIC,AZURE ACTIVE DIRECTORY BASIC
078D2B04-F1BD-4111-BBD4-B4B1B354CEF4,AAD_PREMIUM,AZURE ACTIVE DIRECTORY PREMIUM P1
84A661C4-E949-4BD2-A560-ED7766FCAF2B,AAD_PREMIUM_P2,AZURE ACTIVE DIRECTORY PREMIUM P2
C52EA49F-FE5D-4E95-93BA-1DE91D380F89,RIGHTSMANAGEMENT,AZURE INFORMATION PROTECTION PLAN 1
EA126FC5-A19E-42E2-A731-DA9D437BFFCF,DYN365_ENTERPRISE_PLAN1,DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION
749742BF-0D37-4158-A120-33567104DEEB,DYN365_ENTERPRISE_CUSTOMER_SERVICE,DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION
CC13A803-544E-4464-B4E4-6D6169A138FA,DYN365_FINANCIALS_BUSINESS_SKU,DYNAMICS 365 FOR FINANCIALS BUSINESS EDITION
8EDC2CF8-6438-4FA9-B6E3-AA1660C640CC,DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE,DYNAMICS 365 FOR SALES AND CUSTOMER SERVICE ENTERPRISE EDITION
1E1A282C-9C54-43A2-9310-98EF728FAACE,DYN365_ENTERPRISE_SALES,DYNAMICS 365 FOR SALES ENTERPRISE EDITION
8E7A3D30-D97D-43AB-837C-D7701CEF83DC,DYN365_ENTERPRISE_TEAM_MEMBERS,DYNAMICS 365 FOR TEAM MEMBERS ENTERPRISE EDITION
CCBA3CFE-71EF-423A-BD87-B6DF3DCE59A9,DYNAMICS_365_FOR_OPERATIONS,DYNAMICS 365 UNF OPS PLAN ENT EDITION
EFCCB6F7-5641-4E0E-BD10-B4976E1BF68E,EMS,ENTERPRISE MOBILITY + SECURITY E3
B05E124F-C7CC-45A0-A6AA-8CF78C946968,EMSPREMIUM,ENTERPRISE MOBILITY + SECURITY E5
